round,date,token_symbol,amount,usd_amount,choice,block_number,choice_index,token_name,token_price,token_addr,score,proposal,tx_hash,per_vote
4,2021-10-28,CVX,19200.0,550475.0367378702,mim,block_number,choice_index,Convex Token,28.670574830097408,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,1903730.9455794136,proposal,tx_hash,0.2891559009512919
4,2021-10-28,MTA,80159.99999999999,64077.06092737015,usdn,block_number,choice_index,Meta,0.7993645325270728,0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2,408266.17043815966,proposal,tx_hash,0.1569492296131255
4,2021-10-28,DAI,96000.0,96194.8268798914,ust,block_number,choice_index,Dai Stablecoin,1.0020294466655355,0x6B175474E89094C44Da98b954EedeAC495271d0F,754.0357909263212,proposal,tx_hash,127.57329033641436
4,2021-10-28,WETH,18.72,80977.62163566537,lusd,block_number,choice_index,Wrapped Ether,4325.727651477851,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,217.47257503287977,proposal,tx_hash,372.3578553453112
4,2021-10-28,WETH,0.0048,22.918116469027584,compound,block_number,choice_index,Wrapped Ether,4774.607597714081,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,212750.40474678302,proposal,tx_hash,0.00010772302170848927
5,2021-11-11,DAI,2.88,2.891134727789592,compound,block_number,choice_index,Dai Stablecoin,1.0038662249269417,0x6B175474E89094C44Da98b954EedeAC495271d0F,0,proposal,tx_hash,0
5,2021-11-11,SPELL,43200000.0,883692.4075515829,usdm,block_number,choice_index,Spell Token,0.02045584276739775,0x090185f2135308BaD17527004364eBcC2D37e5F6,88.11327031932949,proposal,tx_hash,10029.050157246593
5,2021-11-11,DAI,96000.0,95872.72992568271,ust,block_number,choice_index,Dai Stablecoin,0.9986742700591948,0x6B175474E89094C44Da98b954EedeAC495271d0F,0,proposal,tx_hash,0
5,2021-11-11,DAI,96000.0,95872.72992568271,f-ibbtc,block_number,choice_index,Dai Stablecoin,0.9986742700591948,0x6B175474E89094C44Da98b954EedeAC495271d0F,1301897.2936817664,proposal,tx_hash,0.07364077826335637
5,2021-11-11,FXS,2368.32,47935.12721775627,harmony-3pool,block_number,choice_index,Frax Share,20.24013951567198,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,0,proposal,tx_hash,0
5,2021-11-11,FXS,116033.28000000001,2348529.7756610317,busdv2,block_number,choice_index,Frax Share,20.24013951567198,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,0,proposal,tx_hash,0
5,2021-11-11,CVX,19200.0,574849.287100631,mim,block_number,choice_index,Convex Token,29.9400670364912,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,1851987.7554652495,proposal,tx_hash,0.3103958357198855
